Player,PTS,WS,HOF,VALUE,G,WS/48,Year,AST,STL,BLK,TOV,FG%,FT%,OWS,DWS,Pos,TRB,PPG,MVP,APG,SPG,BPG,TPG,RPG
Al Masino,560.0,4.0,NOHOF,0,126.0,0.199,1953.0,204.0,0.0,0.0,0.0,0.41125,0.611,1.1,2.8000000000000003,PG,233.0,4.444444444444445,0,1.619047619047619,0.0,0.0,0.0,1.8492063492063493
Al Miksis,27.0,0.1,NOHOF,0,8.0,,1950.0,4.0,0.0,0.0,0.0,0.23800000000000002,0.81,0.2,0.0,C,0.0,3.375,0,0.5,0.0,0.0,0.0,0.0
Al Roges,631.0,0.7,NOHOF,0,84.0,0.018000000000000002,1954.0,179.0,0.0,0.0,0.0,0.3675,0.6755,0.3,0.5,SF,237.0,7.511904761904762,0,2.130952380952381,0.0,0.0,0.0,2.8214285714285716
Al Skinner,2771.0,9.2,NOHOF,0,325.0,0.0445,1977.0,761.0,313.0,99.0,468.0,0.441125,0.8341428571428572,2.3,6.900000000000001,SG,983.0,8.526153846153846,0,2.3415384615384616,0.963076923076923,0.3046153846153846,1.44,3.0246153846153847
Al Thornton,4855.0,10.000000000000002,NOHOF,0,442.0,0.044125,2008.0,505.0,265.0,199.0,590.0,0.46575,0.75225,4.1,5.8,PF,1740.0,10.984162895927602,0,1.1425339366515836,0.5995475113122172,0.4502262443438914,1.334841628959276,3.936651583710407
Al Tucker,3673.0,11.6,NOHOF,0,402.0,0.09175,1968.0,342.0,0.0,0.0,0.0,0.47275,0.73525,6.9,4.7,PF,1888.0,9.13681592039801,0,0.8507462686567164,0.0,0.0,0.0,4.696517412935323
Al Wood,5356.0,16.1,NOHOF,0,465.0,0.061500000000000006,1982.0,800.0,341.0,168.0,640.0,0.44987499999999997,0.779125,9.1,7.3,SG,1396.0,11.518279569892472,0,1.7204301075268817,0.7333333333333333,0.36129032258064514,1.3763440860215055,3.0021505376344084
Al-Farouq Aminu,3766.0,17.499999999999996,NOHOF,0,520.0,0.06557142857142857,2011.0,639.0,494.0,307.0,667.0,0.42499999999999993,0.7261428571428572,3.5999999999999996,13.7,SF,2948.0,7.242307692307692,0,1.228846153846154,0.95,0.5903846153846154,1.2826923076923078,5.6692307692307695
Alaa Abdelnaby,2299.0,7.1,NOHOF,0,385.0,-0.003999999999999991,1991.0,125.0,111.0,107.0,389.0,0.4493333333333333,0.6713749999999998,0.9999999999999998,6.2,PF,1297.0,5.9714285714285715,0,0.3246753246753247,0.2883116883116883,0.2779220779220779,1.0103896103896104,3.3688311688311687
Alan Anderson,2421.0,7.2,NOHOF,0,330.0,0.045625000000000006,2006.0,371.0,182.0,31.0,290.0,0.401875,0.802,3.8000000000000003,3.7000000000000006,SF,714.0,7.336363636363636,0,1.1242424242424243,0.5515151515151515,0.09393939393939393,0.8787878787878788,2.1636363636363636
